footystats_name,league,canonical_name
Almería,ESP_PD,UD Almeria
CA Osasuna,ESP_PD,Osasuna
Cádiz,ESP_PD,Cadiz
Deportivo Alavés,ESP_PD,CD Alaves
Elche CF,ESP_PD,Elche
Getafe CF,ESP_PD,Getafe
Girona FC,ESP_PD,Girona
Granada CF,ESP_PD,Granada
Levante UD,ESP_PD,Levante
RCD Espanyol,ESP_PD,Espanyol
RCD Mallorca,ESP_PD,Mallorca
Sevilla FC,ESP_PD,Sevilla
Valencia CF,ESP_PD,Valencia
Ajaccio,FRA_L1,AC Ajaccio
Clermont,FRA_L1,Clermont Foot
Olympique Lyonnais,FRA_L1,Lyon
Olympique Marseille,FRA_L1,Marseille
PSG,FRA_L1,Paris Saint-Germain
Paris,FRA_L1,Paris FC
Inter Milan,ITA_SA,Inter de Milão
AVS,POR_PL,AVS Futebol SAD
Alverca,POR_PL,FC Alverca
Boavista FC,POR_PL,Boavista
CD Nacional,POR_PL,Nacional
CD Tondela,POR_PL,Tondela
CS Marítimo,POR_PL,Maritimo
FC Vizela,POR_PL,Vizela
GD Estoril Praia,POR_PL,Estoril
Porto,POR_PL,FC Porto
Rio Ave FC,POR_PL,Rio Ave
Sporting CP,POR_PL,Sporting
Altay,TUR_SL,Altay SK
Ankaragücü,TUR_SL,Ankaragucu
Beşiktaş,TUR_SL,Besiktas
Gazişehir Gaziantep,TUR_SL,Gaziantep FK
Kasımpaşa,TUR_SL,Kasimpasa
